total number of customers ,Revenue ,Total _duration ,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,stays_in_week_nights,arrival_date_day_of_month,stays_in_weekend_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
1,84,2,Resort Hotel,1,2,2016,March,14,2,30,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,87,31,0,Transient,42,0,0,No-Show,2016-03-30
1,84,2,Resort Hotel,1,2,2016,March,14,2,30,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,1,No Deposit,87,31,0,Transient,42,0,0,No-Show,2016-03-30
2,264,4,Resort Hotel,0,168,2016,March,14,4,30,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,264,4,Resort Hotel,0,168,2016,March,14,4,30,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,4,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
1,240,4,Resort Hotel,0,168,2016,March,14,4,30,0,1,0,0,BB,DEU,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-03
3,505,5,Resort Hotel,0,168,2016,March,14,4,30,1,3,0,0,BB,GBR,Groups,Direct,0,0,0,A,C,2,No Deposit,87,223,0,Transient-Party,101,0,0,Check-Out,2016-04-04
1,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,2,No Deposit,87,223,0,Transient-Party,66,1,0,Check-Out,2016-04-04
3,417.5,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,1,0,BB,GBR,Groups,Direct,0,0,0,A,C,2,No Deposit,87,223,0,Transient-Party,83.5,0,0,Check-Out,2016-04-04
2,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,1,Check-Out,2016-04-04
2,440,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,F,2,No Deposit,87,223,0,Transient-Party,88,0,0,Check-Out,2016-04-04
2,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,340,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,68,0,0,Check-Out,2016-04-04
3,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,1,BB,GBR,Groups,Direct,0,0,0,A,C,2,No Deposit,87,223,0,Transient-Party,66,0,1,Check-Out,2016-04-04
2,330,5,Resort Hotel,0,168,2016,March,14,4,30,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,1,Check-Out,2016-04-04
2,0,0,Resort Hotel,0,169,2016,March,14,0,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,I,2,No Deposit,87,223,0,Transient-Party,0,0,0,Check-Out,2016-03-31
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,C,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,216,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,B,1,Refundable,87,223,0,Transient-Party,72,1,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,C,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,216,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,72,1,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
1,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,1,0,0,BB,AUT,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,66,1,0,Check-Out,2016-04-03
2,216,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,72,1,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,POL,Groups,Direct,0,0,0,A,E,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,BEL,Groups,Direct,0,0,0,A,E,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
1,240,4,Resort Hotel,0,169,2016,March,14,3,31,1,1,0,0,BB,NLD,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
3,404,4,Resort Hotel,0,169,2016,March,14,3,31,1,3,0,0,BB,PRT,Groups,Direct,0,0,0,A,C,1,Refundable,87,223,0,Transient-Party,101,0,0,Check-Out,2016-04-04
1,204,3,Resort Hotel,0,169,2016,March,14,3,31,0,1,0,0,BB,BEL,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,68,1,0,Check-Out,2016-04-03
3,250.5,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,1,0,BB,PRT,Groups,Direct,0,0,0,A,C,2,Refundable,87,223,0,Transient-Party,83.5,0,0,Check-Out,2016-04-03
2,216,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,C,1,Refundable,87,223,0,Transient-Party,72,1,0,Check-Out,2016-04-03
2,198,3,Resort Hotel,0,169,2016,March,14,3,31,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-03
1,180,3,Resort Hotel,0,169,2016,March,14,3,31,0,1,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-03
1,180,3,Resort Hotel,0,169,2016,March,14,3,31,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-03
2,184,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,46,0,0,Canceled,2016-03-24
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
3,404,4,Resort Hotel,0,169,2016,March,14,3,31,1,3,0,0,BB,GBR,Groups,Direct,0,0,0,A,C,1,Refundable,87,223,0,Transient-Party,101,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,184,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,46,0,0,Canceled,2016-03-24
2,184,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,46,0,0,Canceled,2016-03-24
2,184,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,46,0,0,Canceled,2016-03-24
2,184,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,46,0,0,Canceled,2016-03-24
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,1,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Canceled,2016-03-24
1,240,4,Resort Hotel,0,169,2016,March,14,3,31,1,1,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
1,240,4,Resort Hotel,0,169,2016,March,14,3,31,1,1,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
2,270,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,NLD,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,67.5,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,C,3,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
1,240,4,Resort Hotel,0,169,2016,March,14,3,31,1,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
1,240,4,Resort Hotel,0,169,2016,March,14,3,31,1,1,0,0,BB,BEL,Groups,Direct,0,0,0,A,A,2,Refundable,87,223,0,Transient-Party,60,0,0,Check-Out,2016-04-04
2,264,4,Resort Hotel,0,169,2016,March,14,3,31,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,Refundable,87,223,0,Transient-Party,66,0,0,Check-Out,2016-04-04
2,59,1,Resort Hotel,1,32,2016,April,17,1,19,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,397,0,Transient-Party,59,0,0,Canceled,2016-04-13
1,50,1,Resort Hotel,1,32,2016,April,17,1,19,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,397,0,Transient-Party,50,0,0,Canceled,2016-04-13
1,58.5,1,Resort Hotel,1,0,2016,April,17,1,20,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,392,0,Transient-Party,58.5,0,0,Canceled,2016-04-20
2,255,3,Resort Hotel,1,13,2016,April,18,2,25,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,87,110,0,Transient,85,0,0,Canceled,2016-04-19
2,425,5,Resort Hotel,1,13,2016,April,18,4,25,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,87,110,0,Transient,85,0,0,Canceled,2016-04-19
2,2541,33,Resort Hotel,1,13,2016,April,18,24,25,9,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,77,0,0,Canceled,2016-04-19
2,46,2,Resort Hotel,1,7,2016,April,18,2,29,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,87,154,0,Transient,23,0,0,Canceled,2016-04-22
2,252,3,Resort Hotel,1,5,2016,May,19,2,2,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,84,0,0,Canceled,2016-04-28
2,73.8,1,Resort Hotel,1,12,2016,May,19,1,4,0,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,110,0,Transient,73.8,0,0,Canceled,2016-04-29
1,65.6,1,Resort Hotel,1,12,2016,May,19,1,4,0,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,110,0,Transient,65.6,0,0,Canceled,2016-04-29
1,70,1,Resort Hotel,1,7,2016,May,20,1,11,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,405,405,0,Transient-Party,70,0,0,No-Show,2016-05-11
2,1190,14,Resort Hotel,1,3,2016,May,20,10,13,4,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,87,110,0,Transient,85,0,0,Canceled,2016-05-12
2,850,10,Resort Hotel,1,5,2016,May,21,7,16,3,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,87,110,0,Transient,85,0,0,Canceled,2016-05-12
2,144,2,Resort Hotel,1,8,2016,May,21,2,18,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,87,331,0,Transient,72,0,0,Canceled,2016-05-10
2,0,1,Resort Hotel,1,126,2016,May,21,1,21,0,2,0,0,BB,PRT,Complementary,Corporate,0,0,0,A,C,2,No Deposit,87,367,0,Transient,0,0,0,No-Show,2016-05-21
2,0,1,Resort Hotel,1,126,2016,May,21,1,21,0,2,0,0,BB,PRT,Complementary,Corporate,0,0,0,A,C,2,No Deposit,87,367,0,Transient,0,0,0,No-Show,2016-05-21
2,594,9,Resort Hotel,0,220,2016,May,21,6,21,3,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,720,10,Resort Hotel,0,221,2016,May,22,6,22,4,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,72,1,0,Check-Out,2016-06-01
2,462,7,Resort Hotel,0,222,2016,May,22,5,23,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,C,2,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
1,340,5,Resort Hotel,0,223,2016,May,22,5,24,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,68,1,0,Check-Out,2016-05-29
2,338,5,Resort Hotel,0,223,2016,May,22,5,24,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,2,No Deposit,87,223,0,Transient-Party,67.6,0,0,Check-Out,2016-05-29
2,406.02,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,67.67,0,0,Check-Out,2016-05-30
3,406.02,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,1,BB,GBR,Groups,Direct,0,0,0,A,C,1,No Deposit,87,223,0,Transient-Party,67.67,0,1,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,270,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,45,0,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,1,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
1,360,6,Resort Hotel,0,223,2016,May,22,5,24,1,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-05-30
2,414,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,1,No Deposit,87,223,0,Transient-Party,69,1,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,3,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,396,6,Resort Hotel,0,223,2016,May,22,5,24,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,B,2,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,492.03,7,Resort Hotel,0,223,2016,May,22,5,24,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,87,223,0,Transient-Party,70.29,1,0,Check-Out,2016-05-31
2,497.98,7,Resort Hotel,0,223,2016,May,22,5,24,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,E,2,Refundable,87,223,0,Transient-Party,71.14,1,0,Check-Out,2016-05-31
2,534,8,Resort Hotel,0,223,2016,May,22,6,24,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66.75,1,0,Check-Out,2016-06-01
2,528,8,Resort Hotel,0,223,2016,May,22,6,24,2,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-06-01
1,480,8,Resort Hotel,0,223,2016,May,22,6,24,2,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-06-01
2,184,4,Resort Hotel,0,224,2016,May,22,4,25,0,2,0,0,BB,FRA,Groups,Direct,0,0,0,A,A,1,No Deposit,87,223,0,Transient-Party,46,0,0,Check-Out,2016-05-29
2,264,4,Resort Hotel,0,224,2016,May,22,4,25,0,2,0,0,BB,ITA,Groups,Direct,0,0,0,A,D,3,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-29
2,264,4,Resort Hotel,0,224,2016,May,22,4,25,0,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,0,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-29
2,325,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,3,No Deposit,87,223,0,Transient-Party,65,0,0,Check-Out,2016-05-30
2,260,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,4,No Deposit,87,223,0,Transient-Party,52,1,1,Check-Out,2016-05-30
2,330,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,C,1,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,330,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,66,0,0,Check-Out,2016-05-30
2,230,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,4,No Deposit,87,223,0,Transient-Party,46,0,0,Check-Out,2016-05-30
2,325,5,Resort Hotel,0,224,2016,May,22,4,25,1,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,4,No Deposit,87,223,0,Transient-Party,65,0,0,Check-Out,2016-05-30
1,200,5,Resort Hotel,0,224,2016,May,22,4,25,1,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,5,No Deposit,87,223,0,Transient-Party,40,0,0,Check-Out,2016-05-30
1,132,2,Resort Hotel,0,225,2016,May,22,2,26,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,66,1,0,Check-Out,2016-05-28
1,180,3,Resort Hotel,0,225,2016,May,22,3,26,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-05-29
1,192,3,Resort Hotel,0,225,2016,May,22,3,26,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,64,1,0,Check-Out,2016-05-29
1,180,3,Resort Hotel,0,225,2016,May,22,3,26,0,1,0,0,BB,GBR,Groups,Direct,0,0,0,A,A,2,No Deposit,87,223,0,Transient-Party,60,0,0,Check-Out,2016-05-29
